ID,Cow ID,Date,Ruminating(min),Eating(min),Sitting(min),Standing(min),Coughing(count),Resting(min),Activity Rate,Mounting(count),Sniffing,Heat Detection(count),SIT+STAND(min),Data Collection Rate(%)
1,COW-10000245,17/08/2025,387.3333,164.3333,877.3333,563.5,2,185.1667,65.70770192187669,1,145.67047706017127,0,1440.8333,100
1,COW-10000245,18/08/2025,288.8333,225.6667,769.8333,671,2,208.6667,71.30578893922946,2,154.58907995008883,0,1440.8333,100
1,COW-10000245,19/08/2025,204.3333,174.5,810.6667,630,2,225,67.99714805,6,148.54573393684467,0,1440.6667,100
1,COW-10000245,20/08/2025,352.3333,213.6667,795.8333,644.8333,4,183.8333,74.71790955387735,7,161.00727215457547,0,1440.6667,100
1,COW-10000245,21/08/2025,325.5,134.3333,842.3333,598.5,8,181.5,64.3035775,5,145.07553021159043,0,1440.8333,100
1,COW-10000245,22/08/2025,307.5,154.8333,818,622.8333,4,158.3333,67.95408623310925,5,150.53804824502566,0,1440.8333,100
1,COW-10000245,23/08/2025,240.5,186.8333,828.8333,612,6,202.6667,68.73580310439843,4,151.00045824685216,0,1440.8333,100
1,COW-10000245,24/08/2025,259.6667,461.6667,648.6667,792,0,167.5,118.29209690014558,13,203.20468689213743,0,1440.6667,100
1,COW-10000245,25/08/2025,492.6667,208.5,851.3333,589.3333,4,146.1667,77.34079975267629,1,162.73993491464498,0,1440.6667,100
1,COW-10000245,26/08/2025,340.5,190.1667,804.3333,636.5,0,187.6667,73.07197438422622,2,160.11291667172645,0,1440.8333,100
1,COW-10000245,27/08/2025,312.1667,483.8333,655.3333,785.5,12,190.5,121.20059997487992,5,204.62145530122632,0,1440.8333,100
1,COW-10000245,28/08/2025,425.3333,194.6667,936.5,504.1667,2,195.3333,67.99796237265937,3,135.52818942654747,0,1440.6667,100
1,COW-10000245,29/08/2025,388,173.3333,896.5,544.1667,2,234.5,68.21987754,5,140.3751547940072,0,1440.6667,100
1,COW-10000245,30/08/2025,288.8333,212,766.1667,674.6667,0,181.8333,72.01198832488184,6,156.59786082058713,0,1440.8333,100
1,COW-10000245,31/08/2025,461,221.3333,805.8333,635,7,105.8333,84.33247206044238,8,174.79164373950508,0,1440.8333,100
1,COW-10000245,01/09/2025,470.8333,265.5,795.6667,645,0,131.3333,83.11742831137047,5,167.0241814308396,0,1440.6667,100
1,COW-10000245,02/09/2025,477,209,845.8333,595,0,186.1667,75.66187150909971,3,153.9706574126156,0,1440.8333,100
1,COW-10000245,03/09/2025,361.3333,179.6667,847.1667,593.6667,0,196.3333,67.95623335388784,3,144.74501830984084,0,1440.8333,100
1,COW-10000245,04/09/2025,492.6667,211.8333,855.5,585.3333,6,199.8333,70.52590389,8,145.44609992058722,0,1440.8333,100
1,COW-10000245,05/09/2025,316,149.5,845.1667,595.6667,5,245.5,63.70881922883475,10,137.39479371479578,0,1440.8333,100
1,COW-10000245,06/09/2025,378,184.6667,823.1667,617.5,2,202.3333,68.82765583,6,148.6760101181553,0,1440.6667,100
1,COW-10000245,07/09/2025,382.1667,202.5,844.8333,622.5,6,227,68.95321691323281,10,143.18015201695124,0,1467.3333,102
1,COW-10000245,08/09/2025,267.3333,202.5,692.6667,567.1667,2,176.5,74.14550486,2,156.5617994256618,0,1259.8333,87
1,COW-10000245,09/09/2025,423,243.1667,811.5,629.3333,2,164.6667,72.01705201889753,3,150.64142749515003,0,1440.8333,100
1,COW-10000245,10/09/2025,302.8333,208.8333,828.5,612.1667,5,223.1667,69.01487229544495,2,144.56665,0,1440.6667,100
1,COW-10000245,11/09/2025,323.6667,162.3333,904.1667,536.6667,5,227.3333,56.06843420396036,3,128.59177020741998,0,1440.8333,100
1,COW-10000245,12/09/2025,214.6667,269,733.5,707.1667,0,229.5,72.16679060696342,6,159.38144120724317,0,1440.6667,100
1,COW-10000245,13/09/2025,392,264.3333,712.5,728.3333,4,111.6667,80.69210578914044,7,177.22522812816297,0,1440.8333,100
1,COW-10000245,14/09/2025,369.3333,263,839.5,601.3333,0,176.6667,74.71809618427548,2,154.34434686388286,0,1440.8333,100
1,COW-10000245,15/09/2025,366.3333,280,838,603.3333,2,208.1667,74.04858120716246,2,155.47430542858524,0,1441.3333,100
1,COW-10000245,16/09/2025,297,316.3333,856.6667,583.5,0,209.6667,77.4981045,4,152.30877037167537,0,1440.1667,100
1,COW-10000245,17/09/2025,323.1667,250.1667,849.3333,591.5,8,209.1667,72.06823717230935,4,148.95402870818052,0,1440.8333,100
1,COW-10000245,18/09/2025,339,219.3333,938.3333,502.5,0,261.8333,65.07002989910737,2,126.96245704240505,0,1440.8333,100
1,COW-10000245,19/09/2025,313.6667,216.3333,918.5,522.1667,6,267.6667,61.14046054435846,1,126.29798612678452,0,1440.6667,100
1,COW-10000245,20/09/2025,226.8333,210.6667,912.6667,528.1667,6,282.1667,62.93185133572739,5,128.81429931481773,0,1440.8333,100
1,COW-10000245,21/09/2025,283.8333,254.6667,877.1667,562.8333,2,231,71.22183112,6,141.19878770024687,0,1440,100
1,COW-10000245,22/09/2025,371.5,359.6667,754.8333,686,2,155.1667,84.72786895769603,6,166.9548232793946,0,1440.8333,100
1,COW-10000245,23/09/2025,433.6667,298.8333,825.5,615.3333,2,158.8333,78.53460331080042,6,162.89006659583316,0,1440.8333,100
1,COW-10000245,24/09/2025,455.6667,205.6667,853.6667,587,0,146,69.23088006651109,3,148.50510422524783,0,1440.6667,100
1,COW-10000245,25/09/2025,306.3333,285.3333,834,606.8333,0,230.8333,70.82318178,2,145.16461727038637,0,1440.8333,100
1,COW-10000245,26/09/2025,357.5,206.6667,905.6667,535.1667,8,234.6667,71.90811010728066,9,146.61674018399847,0,1440.8333,100
1,COW-10000245,27/09/2025,334,109,783.6667,657.1667,0,180.1667,73.05369601406893,9,170.06535612275107,0,1440.8333,100
1,COW-10000245,28/09/2025,369.8333,127,840.1667,600.5,2,237.6667,67.74135312,7,155.73774526539583,0,1440.6667,100
1,COW-10000245,29/09/2025,200,216.3333,651.8333,643.6667,0,144.1667,91.13646266421465,6,195.93758466359378,0,1295.5,90
2,COW-10000246,01/06/2025,430.8333,181,774.1667,666.3333,0,137.3333,75.07797557226586,5,140.82684334292946,0,1440.5,100
2,COW-10000246,02/06/2025,325.1667,169.5,757.3333,683.5,11,219,73.09196822528828,9,137.32782552530477,0,1440.8333,100
